record_id,brand_name,product_name,vendor,derived_niche,risk_flags,net_earnings_per_sale_usd,cart_conversion_pct,cancellation_rate_pct,econ_score,signal,source,date,suggestions_total,branded_suggestions,commercial_modifiers,high_intent_modifiers,bing_demand_tier,branded_search_points,evidence,confidence
4,Medicinal Garden Kit,Medicinal Garden Kit – BRAND NEW!,bookofren,health-supplement,SUPPLEMENT,45.7,18.0,2.07,96.67,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,10,8,amazon|buy|review|scam,buy|review|scam,BING_STRONG,20,medicinal garden kit ; medicinal garden kit review ; medicinal garden kit nicole apelian ; medicinal garden kit buy ; medicinal garden kit scam ; medicinal garden kit amazon ; medicinal garden kit for sale ; medicinal garden kit dr nicole apelian,HIGH
17,Pineal Guardian,Promote Pineal Guardian Now!,Nutraville,health-supplement,SUPPLEMENT|MIRACLE_CLAIM,235.62,9.0,9.48,87.4,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,12,12,buy|complaints|discount|official|order|price|reviews|scam,buy|complaints|discount|official|order|price|reviews|scam,BING_STRONG,20,pineal guardian ; pineal guardian buy ; pineal guardian official ; pineal guardian sale ; pineal guardian price ; pineal guardian discount ; pineal guardian order ; pineal guardian supplement,HIGH
15,iGenics,iGenics - Hot New Offer in the Vision Niche!(Text and Video),igenics,health-supplement,SUPPLEMENT|MEDICAL,121.35,10.0,9.37,86.74,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,19,19,buy|discount|ingredients|official|order|price|reviews|scam,buy|discount|official|order|price|reviews|scam,BING_STRONG,20,igenics buy ; igenics official website ; igenics price ; igenics scam ; igenics order ; igenics sale ; igenics discount ; igenics sac,HIGH
52,NeuroPrime,Promote NeuroPrime Now!,zenmavibe,health-supplement,SUPPLEMENT,79.48,8.0,5.55,84.46,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,13,13,buy|discount|official|order|price|reviews,buy|discount|official|order|price|reviews,BING_STRONG,20,neuroprime ; neuroprime buy ; neuroprime reviews ; neuroprime sale ; neuroprime official website ; neuroprime price ; neuroprime order ; neuroprime official,HIGH
9,Advanced Mitochondrial Formula,Earn 60% Commission Promoting Advanced Mitochondrial Formula,soundview,health-supplement,SUPPLEMENT|MAKE_MONEY,116.19,8.0,8.09,84.46,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,9,9,amazon|buy|ingredients|reviews|scam,buy|reviews|scam,BING_STRONG,20,advanced mitochondrial formula ; advanced mitochondrial formula reviews ; advanced mitochondrial formula scam ; advanced mitochondrial formula supplements ; advanced mitochondrial formula ingredients ; advanced mitochondrial formula buy ; advanced mitochondrial formula amazon ; advanced mitochondrial formula in 91405,HIGH
77,Nerve Fresh,Nerve Fresh,premvitality,health-supplement,SUPPLEMENT|MEDICAL,114.92,10.0,14.07,83.79,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,15,15,buy|complaints|discount|official|order|price|reviews|scam,buy|complaints|discount|official|order|price|reviews|scam,BING_STRONG,20,nerve fresh ; nerve fresh buy ; nerve fresh discount ; nerve fresh supplement ; nerve fresh sale ; nerve fresh order ; nerve fresh price ; nerve fresh official,HIGH
49,Vertigenics,Vertigenics,Vertigenics,health-supplement,SUPPLEMENT,112.39,10.0,13.58,83.25,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,17,17,buy|discount|official|order|price|reviews,buy|discount|official|order|price|reviews,BING_STRONG,20,vertigenics ; vertigenics reviews ; vertigenics sale ; vertigenics order ; vertigenics buy ; vertigenics discount ; vertigenics price ; vertigenics official website,HIGH
2,Advanced Amino Formula,Earn 60% Commission Promoting Advanced Amino Formula,soundview,health-supplement,SUPPLEMENT|MAKE_MONEY,70.25,7.0,6.66,81.92,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,12,12,ingredients|legit|review|reviews|scam|side effects,legit|review|reviews|scam,BING_STRONG,20,advanced amino formula ; advanced amino formula reviews ; advanced amino formula scam ; advanced amino formula scam alert ; advanced amino formula supplements ; advanced amino formula side effects ; advanced amino formula review legit or a scam ; advanced amino formula powder,HIGH
75,Dubai Wealth Secret,Dubai Wealth Secret - Brand-New Forbidden Wealth Angle Going,destinyaff,forex-crypto-trading,FINANCIAL|MIRACLE_CLAIM,43.93,12.0,12.66,81.64,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,9,9,buy|review|reviews|scam,buy|review|reviews|scam,BING_STRONG,20,dubai wealth secret ; dubai wealth secret reviews ; dubai wealth secret program ; dubai wealth secret reviews 2026 ; dubai wealth secret usa ; dubai wealth secret scam ; dubai wealth secret buy ; the dubai wealth secret review,HIGH
18,Blood Sugar Blaster,Blood Sugar Blaster,premvitality,health-supplement,SUPPLEMENT|MEDICAL,133.52,7.0,12.13,81.04,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,14,14,amazon|buy|discount|ingredients|official|order|price|reviews,buy|discount|official|order|price|reviews,BING_STRONG,20,blood sugar blaster ; blood sugar blaster reviews ; blood sugar blaster supplement ; blood sugar blaster official website ; blood sugar blaster order ; blood sugar blaster ingredients ; blood sugar blaster official ; blood sugar blaster sale,HIGH
