brand,domain,status,registry_source,checked_date,match_type,trademark_brand_risk,prior_history,note
Advanced Amino Formula,advancedaminoformula.com,REGISTERED,RDAP Verisign (.com authoritative registry),2026-08-24,exact,HIGH - vendor mark,not checked - only relevant if purchased,exact-brand .com is vendor-held where REGISTERED
Advanced Amino Formula,advancedaminoformulareview.com,AVAILABLE,RDAP Verisign (.com authoritative registry),2026-08-24,partial+review,MEDIUM - contains vendor mark,not checked - only relevant if purchased,exact-brand .com is vendor-held where REGISTERED
Advanced Amino Formula,advancedaminoformulareviews.com,AVAILABLE,RDAP Verisign (.com authoritative registry),2026-08-24,partial+review,MEDIUM - contains vendor mark,not checked - only relevant if purchased,exact-brand .com is vendor-held where REGISTERED
Advanced Mitochondrial Formula,advancedmitochondrialformula.com,REGISTERED,RDAP Verisign (.com authoritative registry),2026-08-24,exact,HIGH - vendor mark,not checked - only relevant if purchased,exact-brand .com is vendor-held where REGISTERED
Advanced Mitochondrial Formula,advancedmitochondrialformulareview.com,AVAILABLE,RDAP Verisign (.com authoritative registry),2026-08-24,partial+review,MEDIUM - contains vendor mark,not checked - only relevant if purchased,exact-brand .com is vendor-held where REGISTERED
Medicinal Garden Kit,medicinalgardenkit.com,REGISTERED,RDAP Verisign (.com authoritative registry),2026-08-24,exact,HIGH - vendor mark,not checked - only relevant if purchased,exact-brand .com is vendor-held where REGISTERED
Medicinal Garden Kit,medicinalgardenkitreview.com,AVAILABLE,RDAP Verisign (.com authoritative registry),2026-08-24,partial+review,MEDIUM - contains vendor mark,not checked - only relevant if purchased,exact-brand .com is vendor-held where REGISTERED
Medicinal Garden Kit,medicinalgardenkitreviews.com,AVAILABLE,RDAP Verisign (.com authoritative registry),2026-08-24,partial+review,MEDIUM - contains vendor mark,not checked - only relevant if purchased,exact-brand .com is vendor-held where REGISTERED
iGenics,igenicsreview.com,AVAILABLE,RDAP Verisign (.com authoritative registry),2026-08-24,partial+review,MEDIUM - contains vendor mark,not checked - only relevant if purchased,exact-brand .com is vendor-held where REGISTERED
CaviArgan,caviarganreview.com,AVAILABLE,RDAP Verisign (.com authoritative registry),2026-08-24,partial+review,MEDIUM - contains vendor mark,not checked - only relevant if purchased,exact-brand .com is vendor-held where REGISTERED
Pineal Guardian,pinealguardianreview.com,AVAILABLE,RDAP Verisign (.com authoritative registry),2026-08-24,partial+review,MEDIUM - contains vendor mark,not checked - only relevant if purchased,exact-brand .com is vendor-held where REGISTERED
