rank,product,vendor,best_keyword,keyword_type,search_demand,demand_source,bing_serp_score,commercial_intent,product_fit,affiliate_economics,vendor_serp_control,preliminary_risk,overall_score,main_reason,main_problem,confidence
1,NEW: The Self-Sufficient Backyard,sbackyard,self sufficient backyard,branded,4090/mo (branded cluster),"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",15/25 (GOOGLE PROXY - Bing unmeasurable),17/20,15/15,8/10,NOT FOUND,LOW,80,"Largest measured demand cluster in the queue (~4,090/mo branded) sitting on the best refund profile in the dataset (1.28% cancellation) and backed by a real, verifiable book by named authors (Ron & Johanna Melchiore).","Amazon ranks #2 and sells the physical book outright, so a buyer can complete the purchase without ever touching the affiliate funnel. ""self sufficient backyard pdf"" (110/mo) shows some free-copy intent.",HIGH
2,The Lost SuperFoods,lostrec,long term food storage,non-branded,230/mo (branded cluster),"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",15/25 (GOOGLE PROXY - Bing unmeasurable),15/20,14/15,8/10,NOT FOUND,LOW,73,"Lowest cancellation of any promotable product measured (1.70%) with 19% cart conversion, and the non-branded pool it sits in (""long term food storage"" 1,300/mo, $3.04 CPC) is real and commercially valuable.","Amazon (#1) and eBay (#6) both sell the book, so the affiliate link is the least convenient way to buy it. Credited author ""Claude Davis"" also fronts Home Doctor - a shared pen name that remains unverified and was flagged in Phase 3.",HIGH
3,Tube Magic - AI Tools For Growing on YouTube,tubemagic,tube magic,branded,1600/mo (branded cluster),"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",13/25 (GOOGLE PROXY - Bing unmeasurable),18/20,15/15,4/10,PRESENT BUT NOT DOMINANT,MEDIUM,71,"Only product in the queue with four-figure branded demand (1,600/mo) and the highest-value adjacent term measured anywhere in this study: ""youtube automation tools"" at a $10.16 CPC.","1% cart conversion - the worst in the queue. Phase 2 established the $265.11 net is lifetime value on a $47/mo subscription, not a per-sale payout. Trustpilot 2.6 ""Poor"" and a competitor already ranks an ""alternatives"" page above the official site.",HIGH
4,David’s Shield – New High-Conv VSL (2X CVR!) | $5M+ In Sales,blackoutusa,davids shield,branded,1900/mo (branded cluster),"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",22/25 (GOOGLE PROXY - Bing unmeasurable),14/20,11/15,8/10,NOT FOUND,MEDIUM,63,"Weakest competitor set measured in the entire screen - three of the top nine results are parasite pages on scribehow, firstory and Google Sites, and no dedicated review site holds any position.","The 1,900/mo is NOT all this product. David's Shield Foundation (a protection-training charity) and author David Shields both rank on page 1, so an unknown share of that volume is not addressable. Amazon also sells the guide at #1.",MEDIUM
5,Home Doctor – BRAND NEW!,homedoctor,home remedies book,non-branded,100/mo (branded cluster),"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",17/25 (GOOGLE PROXY - Bing unmeasurable),14/20,13/15,7/10,NOT FOUND,LOW,62,"Sits in a large, genuinely non-branded book market - ""home remedies book"" 1,300/mo and ""survival medicine book"" 390/mo - with a strong 2.81% cancellation rate.","Branded demand is only 90/mo and Scribd hosts the document at #5, so a share of searchers are looking for a free copy. Amazon and Etsy both sell it.",MEDIUM
6,CaviArgan,koshea76,caviargan review,branded,140/mo (branded cluster),"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",19/25 (GOOGLE PROXY - Bing unmeasurable),16/20,13/15,6/10,PRESENT BUT NOT DOMINANT,MEDIUM,57,"A parasite page on Google Sites currently outranks the official store, and a GitHub repository ranks as a review - direct evidence that nothing of quality competes here. $5.31 CPC confirms buyers.","2% cart conversion. Amazon and Walmart both stock it, and a #4 LinkedIn post claims it is ""not sold on Amazon"" - which the same SERP disproves, so the niche is full of bad information.",MEDIUM
7,Joseph’s Well – Blockbuster Offer From Top Diamond Vendor,megadrought,how to make water from air,non-branded,260/mo (branded cluster),"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",22/25 (GOOGLE PROXY - Bing unmeasurable),16/20,10/15,10/10,PRESENT BUT NOT DOMINANT,HIGH,51,"Best economics in the entire queue - $76.36 net, 16% cart conversion, 5.41% cancellation - against the weakest page-one competitor set measured.","Ranking pages state irreconcilable output claims for the same device: accessnewswire says ""up to 10 gallons per day"", newpelican says ""up to 50 gallons per day"". A DIY condensation rig producing either is physically doubtful, so honest promotion means contradicting the vendor. Name also collides with the biblical site in Nazareth.",MEDIUM
8,Medicinal Garden Kit – BRAND NEW!,bookofren,medicinal garden kit review,branded,150/mo (branded cluster),"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",10/25 (GOOGLE PROXY - Bing unmeasurable),15/20,13/15,9/10,PRESENT BUT NOT DOMINANT,HIGH,48,"Strong funnel economics - 18% cart conversion at 2.07% cancellation - in a niche whose adjacent term ""herbal remedies book"" carries 5,400/mo.","A university science unit ranks #2 explicitly debunking the product, and the vendor's own page claims the seeds are ""FDA approved"", which is not a thing the FDA does. Amazon and two homesteading retailers sell near-identical seed kits, so the product is not differentiated.",HIGH
9,Idrotherapy *GET PAID ON REBILLS EACH MONTH*,koshea76,idrotherapy review,branded,260/mo (branded cluster),"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",15/25 (GOOGLE PROXY - Bing unmeasurable),17/20,12/15,5/10,DOMINATES,HIGH,46,"Real measured demand (170/mo brand, 70/mo review) at a $6.27 CPC.","Two independent consumer-review platforms rate it 2.2/5 and 1.4/5. An honest review would tell readers not to buy, which earns no commission - the product and the ethics are in direct conflict. 2% cart conversion corroborates it.",HIGH
10,Advanced Memory Formula,soundview,advanced memory formula review,branded,820/mo (branded cluster),"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",5/25 (GOOGLE PROXY - Bing unmeasurable),18/20,10/15,8/10,PRESENT BUT NOT DOMINANT,HIGH,39,Highest commercial value measured on a supplement term - 590/mo brand and 210/mo review at $7.00-$7.14 CPC.,"Harvard Health and Cleveland Clinic both rank on page 1 actively debunking the entire product category - an unwinnable YMYL SERP. The name also collides with Advanced Bionutritionals, an established brand selling on Amazon and Walmart.",HIGH
