rank,product_name,vendor,product_type,derived_niche,price_usd,net_earnings_per_sale_usd,cart_conversion_pct,cancellation_rate_pct,promotion_status,phase2_score,evidence_level,preliminary_risk_flag,funnel_economics_flag,why_beginner_friendly,main_concern
1,Joseph’s Well – Blockbuster Offer From Top Diamond Vendor,megadrought,Book (printed),other,84.78,76.36,16.00,5.41,Copy promo link,94.83,EVIDENCE_RICH,LOW,NORMAL,open promotion (no approval gate); low preliminary compliance risk; has published conversion + cancellation data; payout matches front-end price (no funnel dependence); $76.36 net/sale is meaningful without high-ticket pricing,none material at this stage
2,Anti-Looter Kit - BRAND NEW!,antilooterkit,Deliverable,health-supplement,201.26,53.01,18.00,3.55,Promote now,91.9,EVIDENCE_RICH,MEDIUM,NORMAL,"open promotion (no approval gate); medium risk, but claims are checkable; has published conversion + cancellation data; payout matches front-end price (no funnel dependence); $53.01 net/sale is meaningful without high-ticket pricing",none material at this stage
3,The Lost SuperFoods,lostrec,Book (printed),other,56.78,27.31,19.00,1.70,Promote now,87.33,EVIDENCE_RICH,LOW,NORMAL,open promotion (no approval gate); low preliminary compliance risk; has published conversion + cancellation data; payout matches front-end price (no funnel dependence); $27.31 net/sale is meaningful without high-ticket pricing,none material at this stage
4,David’s Shield – New High-Conv VSL (2X CVR!) | $5M+ In Sales,blackoutusa,Book (printed),other,83.23,44.71,20.00,9.89,Promote now,87.24,EVIDENCE_RICH,LOW,NORMAL,open promotion (no approval gate); low preliminary compliance risk; has published conversion + cancellation data; payout matches front-end price (no funnel dependence); $44.71 net/sale is meaningful without high-ticket pricing,none material at this stage
5,The Encyclopedia of Power Foods- Latest 2025/6!,dailyhealth,E-books,other,47.08,29.28,16.00,8.97,Promote now,86.59,EVIDENCE_RICH,LOW,NORMAL,open promotion (no approval gate); low preliminary compliance risk; has published conversion + cancellation data; payout matches front-end price (no funnel dependence); $29.28 net/sale is meaningful without high-ticket pricing,none material at this stage
6,Medicinal Garden Kit – BRAND NEW!,bookofren,Deliverable,health-supplement,74.08,45.70,18.00,2.07,Promote now,90.32,EVIDENCE_RICH,MEDIUM,NORMAL,"open promotion (no approval gate); medium risk, but claims are checkable; has published conversion + cancellation data; payout matches front-end price (no funnel dependence); $45.70 net/sale is meaningful without high-ticket pricing",none material at this stage
7,Fearless Phone Fanatic (For Cold Calling),dezatell,Downloads,other,63.77,21.73,37.00,8.22,Promote now,85.45,EVIDENCE_RICH,LOW,NORMAL,open promotion (no approval gate); low preliminary compliance risk; has published conversion + cancellation data; payout matches front-end price (no funnel dependence); $21.73 net/sale is meaningful without high-ticket pricing,none material at this stage
8,Home Doctor – BRAND NEW!,homedoctor,Book (printed),other,49.65,26.83,12.00,2.81,Promote now,85.26,EVIDENCE_RICH,LOW,NORMAL,open promotion (no approval gate); low preliminary compliance risk; has published conversion + cancellation data; payout matches front-end price (no funnel dependence); $26.83 net/sale is meaningful without high-ticket pricing,none material at this stage
9,81 % Commission on US Immigration Survival PRO Bundle,IsMaria,Downloads,survival-preparedness,50.81,32.87,13.00,4.76,Promote now,87.54,EVIDENCE_RICH,MEDIUM,NORMAL,"open promotion (no approval gate); medium risk, but claims are checkable; has published conversion + cancellation data; payout matches front-end price (no funnel dependence); $32.87 net/sale is meaningful without high-ticket pricing",none material at this stage
10,Help Others Overcome Their Acid Refluy | 45% Commission,Refluxsummit,Member area and video courses,education-courses,113.48,49.43,7.00,5.19,Promote now,83.13,EVIDENCE_RICH,LOW,NORMAL,open promotion (no approval gate); low preliminary compliance risk; has published conversion + cancellation data; payout matches front-end price (no funnel dependence); $49.43 net/sale is meaningful without high-ticket pricing,none material at this stage
