rank,product,vendor,net_earnings_per_sale,cart_conversion,cancellation,promotion_status,bing_demand_tier,bing_high_intent_modifiers,market_awareness,risk_level,product_quality,overall_pre_serp_score,why_candidate,main_risk,confidence
1,Advanced Amino Formula,soundview,70.25,7.0,6.66,Promote now,BING_STRONG,legit|review|reviews|scam,"Bing autosuggest returns 12 branded queries incl. [review|reviews|scam|legit]; product live 1361.0 days; promotable ""Promote now""",ACCEPTABLE,ACCEPTABLE,92.0,STRONG demand on Bing with 4 high-intent modifier(s); health product from a vendor with verified standing; $70.25/sale at 7.0% cart conversion and 6.66% cancellation,"Advanced Bionutritionals: established US company, real named formulator Dr Frank Shallenberger (Univ. of Maryland MD, 41 yrs), transparent labelling, cGMP, correct FDA disclaimers, ~4.1/5 across platforms. CAVEAT: unverified Trustpilot allegation of a past California licence revocation - must be checked with the medical board.",HIGH
2,Advanced Mitochondrial Formula,soundview,116.19,8.0,8.09,Promote now,BING_STRONG,buy|reviews|scam,"Bing autosuggest returns 9 branded queries incl. [reviews|buy|scam]; product live 671.0 days; promotable ""Promote now""",ACCEPTABLE,ACCEPTABLE,89.2,STRONG demand on Bing with 3 high-intent modifier(s); health product from a vendor with verified standing; $116.19/sale at 8.0% cart conversion and 8.09% cancellation,Same vendor and disclosure posture. Ingredients CoQ10 / Acetyl-L-Carnitine / Alpha-Lipoic Acid are genuinely studied for mitochondrial support. Same unverified licence caveat.,HIGH
3,Medicinal Garden Kit,bookofren,45.7,18.0,2.07,Promote now,BING_STRONG,buy|review|scam,"Bing autosuggest returns 8 branded queries incl. [review|buy|scam]; product live 1984.0 days; promotable ""Promote now""",MODERATE,MODERATE,84.9,STRONG demand on Bing with 3 high-intent modifier(s); practical/non-supplement product; $45.7/sale at 18.0% cart conversion and 2.07% cancellation,"Real seeds plus a growing guide, but McGill University publicly debunks it and the vendor claims the seeds are ""FDA approved"", which the FDA does not do. Honest review is writable but must contradict the vendor.",MEDIUM
4,CaviArgan,koshea76,87.66,2.0,1.78,Promote now,BING_STRONG,buy|reviews|scam|where to buy,"Bing autosuggest returns 13 branded queries incl. [reviews|buy|scam|where to buy]; product live 341.0 days; promotable ""Promote now""",MODERATE,MODERATE,83.1,STRONG demand on Bing with 4 high-intent modifier(s); practical/non-supplement product; $87.66/sale at 2.0% cart conversion and 1.78% cancellation,"Real cream, but stocked on Amazon/Walmart (channel conflict) and the same vendor's sibling brand Idrotherapy rates 2.2/5 on Trustpilot.",MEDIUM
5,The Lost SuperFoods,lostrec,27.31,19.0,1.7,Promote now,BING_STRONG,review|scam,"Bing autosuggest returns 6 branded queries incl. [review|scam]; product live 1999.0 days; promotable ""Promote now""",ACCEPTABLE,ACCEPTABLE,81.4,STRONG demand on Bing with 2 high-intent modifier(s); practical/non-supplement product; $27.31/sale at 19.0% cart conversion and 1.7% cancellation,"Real 270-page book, 1.70% cancellation, 19% cart conversion. Open question: credited author ""Claude Davis"" could not be independently verified or refuted - so write about contents, never about the author.",HIGH
6,Advanced Memory Formula,soundview,91.44,7.0,6.53,Promote now,BING_STRONG,reviews|scam,"Bing autosuggest returns 13 branded queries incl. [reviews|scam]; product live 539.0 days; promotable ""Promote now""",MODERATE,MODERATE,81.1,STRONG demand on Bing with 2 high-intent modifier(s); health product from a vendor with verified standing; $91.44/sale at 7.0% cart conversion and 6.53% cancellation,"Same legitimate vendor, but Harvard Health and Cleveland Clinic both rank page one debunking brain-health supplements as a category, and the name collides with Amazon/Walmart retail listings.",MEDIUM
7,Pep Tonic,soundview,47.81,7.0,7.31,Promote now,BING_STRONG,complaints|reviews,"Bing autosuggest returns 6 branded queries incl. [reviews|complaints]; product live 410.0 days; promotable ""Promote now""",MODERATE,MODERATE,76.5,STRONG demand on Bing with 2 high-intent modifier(s); health product from a vendor with verified standing; $47.81/sale at 7.0% cart conversion and 7.31% cancellation,Advanced Bionutritionals vendor (verified legitimate); this specific SKU was not individually researched.,MEDIUM
8,Tube Magic,tubemagic,265.11,1.0,8.94,Promote now,BING_STRONG,price|reviews,"Bing autosuggest returns 14 branded queries incl. [reviews|price]; product live 913.0 days; promotable ""Promote now""",MODERATE,MODERATE,76.4,STRONG demand on Bing with 2 high-intent modifier(s); practical/non-supplement product; $265.11/sale at 1.0% cart conversion and 8.94% cancellation,"Real software, 30-day money-back guarantee, but Trustpilot 2.6 ""Poor"", no free trial (""disabled due to spam""), and 1% cart conversion. The $265 net is subscription lifetime value, not a per-sale payout (~$23 front end).",MEDIUM
9,Healthy Heart Solution Kit,BartonPublishing,18.89,18.0,13.58,Promote now,BING_STRONG,reviews|scam,"Bing autosuggest returns 5 branded queries incl. [reviews|scam]; product live 1413.0 days; promotable ""Promote now""",MODERATE,MODERATE,71.3,STRONG demand on Bing with 2 high-intent modifier(s); practical/non-supplement product; $18.89/sale at 18.0% cart conversion and 13.58% cancellation,"Barton Publishing is established (since 2003, 365-day guarantee), but a BBB complaint describes a $2,625 purchase with worsening cholesterol, SmartCustomer rates it 2.1/5, and cardiovascular claims are YMYL.",MEDIUM
10,Home Doctor,homedoctor,26.83,12.0,2.81,Promote now,BING_MODERATE,reviews,"Bing autosuggest returns 24 branded queries incl. [reviews]; product live 1894.0 days; promotable ""Promote now""",ACCEPTABLE,ACCEPTABLE,65.1,MODERATE demand on Bing with 1 high-intent modifier(s); practical/non-supplement product; $26.83/sale at 12.0% cart conversion and 2.81% cancellation,"Real 304-page book, 2.81% cancellation. Same unresolved ""Claude Davis"" authorship question; Scribd hosts a copy, so some searchers want it free.",MEDIUM
